	dim1	dim2
c000001	5	3
c000027	5	2
c000835	4	13
c001545	5	26
c001546	5	10
c001142	7	12
c000837	5	9
c000591	4	4
c001524	3	4
GB_GCA_016288255_1	0	3
c005595	3	3
c006991	2	1
c010369	0	1
c012371	3	5
c016727	1	4
c016728	2	3
c014470	2	4
c010371	1	5
c016739	0	2
GB_GCA_017620795_1	1	6
c029141	1	7
c036985	0	7
c042525	0	5
c042526	2	6
c039682	3	6
c034370	2	7
c031730	0	6
c026616	2	5
c024088	1	3
c021564	0	4
c014476	2	2
c012376	1	2
c003436	3	2
c001526	4	3
c001522	14	3
c000845	8	14
c001579	5	12
c002793	13	4
c004639	6	12
c007313	4	20
c008941	4	17
c010769	7	18
c010770	3	18
c005878	4	19
c004641	3	17
c007319	6	14
c007320	7	16
c005882	4	18
c002795	8	16
GB_GCA_002748415_1	7	13
c005887	10	15
c005888	7	8
c003630	5	17
c001160	5	13
c000602	5	14
c000422	5	4
c000420	9	17
c000279	4	16
c000581	26	27
c000813	27	28
c001101	27	27
c001477	24	27
c001979	27	26
RS_GCF_008807075_1	28	26
c005493	26	26
c005494	29	27
c003350	28	27
c002594	28	28
c000410	4	2
c000127	15	3
c000201	10	8
c002263	6	3
c003851	17	2
c007793	11	31
c009493	15	15
c015591	22	24
c017891	26	8
c020279	26	7
c022751	27	8
c025313	26	6
c027849	27	7
c030369	1	1
c030370	25	7
GB_GCA_016718825_1	27	14
GB_GCA_013153515_1	19	3
c006266	16	3
c002275	7	15
c000908	10	14
c001721	8	4
c009808	7	3
c011769	19	22
c025773	20	10
c036033	16	15
c049999	9	6
c059567	23	19
c059568	18	25
c056282	16	29
c056283	21	18
c059573	18	22
c066489	17	24
c066490	16	28
RS_GCF_003991585_1	21	10
c047040	18	30
c044118	11	21
c041330	13	24
c038630	15	22
c033448	17	14
c030868	15	28
c028316	19	12
c023234	20	7
c025770	20	8
c018372	18	4
c018373	19	5
c023245	19	4
c033489	19	6
c038693	23	10
c050129	24	14
c056451	23	18
c063221	25	11
RS_GCF_900109735_1	27	18
c079933	27	9
c082925	23	8
c091417	26	21
c102621	27	21
GB_GCA_001830395_1	27	16
c109119	27	19
c110435	28	20
c112677	30	20
c113633	28	18
c115219	31	19
c115220	30	19
c114474	29	20
c111610	29	19
c107692	28	19
c104396	26	18
c100674	28	21
c098496	26	19
c096268	29	21
c093898	27	20
c088724	25	20
c085876	26	20
c073554	25	19
c070184	27	12
GB_GCA_001593685_1	24	11
c059772	23	20
c053232	22	15
c047154	24	10
c044222	23	7
c041424	21	15
c038696	19	7
c036089	18	13
c041431	21	9
c044235	22	10
GB_GCA_011322755_1	22	9
c050161	20	9
c050162	20	16
c038700	20	14
c036091	20	15
c041439	19	14
c041440	19	15
c038704	19	18
c028340	19	16
c028341	14	18
c036101	11	25
c044265	10	25
c047217	12	25
c050227	11	26
c053373	10	20
c056637	10	19
c073891	12	21
c073892	12	20
c070508	9	19
c067006	9	20
c063496	12	22
c060006	11	20
c041454	15	20
c038712	10	21
c033502	14	22
c030908	17	25
c023244	18	15
c013846	18	19
c009812	17	12
c009813	9	7
c011775	16	4
c016047	15	0
c028383	20	3
GB_GCA_018063245_1	20	2
c044331	16	18
c050325	16	20
c053465	14	14
c067095	12	15
c089143	16	13
c091829	17	15
GB_GCA_002469865_1	24	25
RS_GCF_000374145_1	11	24
c104763	12	18
c106473	14	21
c115963	16	22
c116561	17	26
c117117	13	19
c118169	17	16
c119085	18	17
c119533	14	20
c119534	18	18
c118634	13	21
c117654	16	17
c115320	13	20
c114592	11	19
c113786	16	21
c112874	13	23
c111856	18	23
c110740	12	19
c109460	15	19
c108056	13	22
c102980	15	23
GB_GCA_003250135_1	11	8
RS_GCF_016623495_1	11	12
c096675	16	24
GB_GCA_016764455_1	16	7
c101035	15	18
c104781	16	19
GB_GCA_002365175_1	15	11
c108073	15	24
c109485	15	21
c111911	16	23
c111912	17	23
c110780	17	18
c102992	19	13
c094298	17	17
c091832	20	4
c089146	18	12
c083390	17	19
c083391	16	10
c094305	20	25
RS_GCF_001890385_1	22	19
c106521	19	19
c109515	22	13
c110813	22	18
c110814	23	14
c108098	21	16
c104814	23	13
c103024	22	14
c101062	20	18
c098916	18	14
c091836	20	13
GB_GCA_005144965_1	16	14
c086312	21	6
c077272	22	12
c073994	17	13
c070612	14	17
c063600	17	22
c060106	15	12
c056738	19	9
c047304	17	20
c041518	15	25
c038766	18	16
c036148	15	2
c033552	18	3
c025830	22	4
c023278	18	2
c020798	18	0
c018400	20	0
c006484	17	6
c003967	6	18
c003015	10	6
c001255	8	6
c002991	8	13
c003897	11	14
c003898	7	14
c002284	10	7
c001712	7	4
c000869	7	5
