	dim1	dim2
c000001	-1.7947024039551316	-3.7414444776637668
c000027	-1.8553671013657087	-3.849001748496027
c000835	-2.0689327029282376	-0.40855964687671065
c001545	-2.0035403208519194	3.78516180788627
c001546	-1.8620634305136314	-1.4630242561147213
c001142	-1.4832776816796645	-0.7989541412022323
c000837	-1.8981276034220982	-1.5250990962640654
c000591	-1.9714454534256227	-3.356737648642274
c001524	-2.256092690635676	-3.4857855081782647
GB_GCA_016288255_1	-2.679682764922579	-3.5350080826109402
c005595	-2.3921629357475833	-3.466814290615883
c006991	-2.489694238773545	-3.669148869539418
c010369	-2.6584191664747743	-3.795915185965608
c012371	-2.5022039497034143	-3.3795283197351895
c016727	-2.5503223251808467	-3.4021822122456085
c016728	-2.4518070505644456	-3.5599477313628034
c014470	-2.4082793448465285	-3.4490998931604206
c010371	-2.575336822406336	-3.1262679153597155
c016739	-2.6545630715622424	-3.5325881374697503
GB_GCA_017620795_1	-2.5841311858672564	-3.067048952602902
c029141	-2.5855804783785827	-2.82007751366638
c036985	-2.6737278517345135	-2.8527535002146602
c042525	-2.747195368011242	-3.237571931435188
c042526	-2.5590231526364984	-3.1439944017147674
c039682	-2.582302408310998	-3.2463427577516124
c034370	-2.4907464389310108	-2.908930721994406
c031730	-2.6480416281562444	-3.1034589965317894
c026616	-2.559214680616866	-3.36650745661542
c024088	-2.644572213352722	-3.349709762036314
c021564	-2.6930926879097266	-3.3171408150510637
c014476	-2.488486517938718	-3.519722455846965
c012376	-2.633001977740097	-3.4350728500958536
c003436	-2.4630903819812735	-3.52767414116433
c001526	-2.1348771748043776	-3.5987876584778102
c001522	-0.10701552062044874	-3.6865571744312793
c000845	-1.299713596696319	-0.08889952716600076
c001579	-1.889417758763831	-0.5705478653160808
c002793	-0.33944421897769606	-3.2667491846332646
c004639	-1.8256071388689354	-0.7379858960218427
c007313	-2.1167041284985038	1.8191182965529804
c008941	-2.1284014790573353	1.1356467429311041
c010769	-1.562530753220779	1.2203389132258897
c010770	-2.345641829958741	1.2882366530644365
c005878	-2.1656788567214624	1.4922326660458118
c004641	-2.149869134718036	1.0061170491114275
c007319	-1.6132441848667793	-0.08502220306689769
c007320	-1.5263138952587512	0.6056398846183517
c005882	-2.153255864105278	1.171969958737403
c002795	-1.4308417932610067	0.4865668228113024
GB_GCA_002748415_1	-1.5317710835943377	-0.41832789883136423
c005887	-0.9100460003831841	0.41253508816297396
c005888	-1.581908628553507	-2.16132551080128
c003630	-2.0179001772095226	0.8255665993815053
c001160	-1.93792118412939	-0.49873332192050396
c000602	-1.8903005879547332	-0.31114936962127193
c000422	-1.8209692931731907	-3.499144871892638
c000420	-1.1605028156091652	0.7782933754659312
c000279	-2.039197952927653	0.7791864881067133
c000581	1.9286669779071888	4.245925925045515
c000813	2.0598479608439573	4.259623133652147
c001101	2.135842336072171	4.260534062599304
c001477	1.6212803962845839	4.445892846836707
c001979	2.162078810340532	4.167759546955537
RS_GCF_008807075_1	2.261325457353134	4.173654948275404
c005493	2.0664091984553132	4.236635448724875
c005494	2.3337039350138373	4.2175438452205025
c003350	2.290928588080083	4.195639603510797
c002594	2.2756897411158925	4.339356257340162
c000410	-1.9847317109394715	-3.808390823641865
c000127	-0.04709648864465895	-3.7060434382161054
c000201	-0.8756339740618171	-1.9451219929720138
c002263	-1.7425990866166483	-3.6029452528084684
c003851	0.3815825772208603	-3.9321949380288137
c007793	-0.7632253421947904	5.585983251350367
c009493	0.0123667399494772	0.12612129003013145
c015591	1.2285798381521942	3.3096904482317058
c017891	1.99770155231012	-2.2246766818090875
c020279	1.9939743134131307	-2.42770433384889
c022751	2.153849394388845	-2.1133126852431015
c025313	2.0039598535694942	-2.457339056509905
c027849	2.151995932786068	-2.5048824930218556
c030369	-2.5009552708643157	-4.030235134390137
c030370	1.9245186044070532	-2.4311756717513857
GB_GCA_016718825_1	2.2728215828872442	-0.019222796133384578
GB_GCA_013153515_1	0.8367146383730363	-3.7923812198655313
c006266	0.2684326649342148	-3.7182880145817077
c002275	-1.4930122543429913	0.5472614284548635
c000908	-0.9370825627506845	-0.2213890684281135
c001721	-1.448446368107273	-3.4377431240122927
c009808	-1.457016843407317	-3.461022449464892
c011769	0.7644703366507514	2.641906301396639
c025773	0.9301019690524144	-1.497712312008663
c036033	0.4277798767520682	0.11040819580020289
c049999	-1.105996460181986	-2.6300045778799053
c059567	1.4218559930057455	1.507243174731279
c059568	0.4183559860750821	3.5908409492092206
c056282	0.11120438130873606	4.875988118663704
c056283	1.148547766053569	1.249666473949744
c059573	0.4511369053901484	2.458449547219464
c066489	0.25164770235382944	3.4118360061726767
c066490	0.064551303454796	4.519583945227029
RS_GCF_003991585_1	1.1699355723819094	-1.5622896791409007
c047040	0.40729032221780054	5.270262523857286
c044118	-0.6931717213731339	2.148879416723221
c041330	-0.4252739244380425	3.280618392212606
c038630	0.004515119029926549	2.508671904236826
c033448	0.44313408120992626	-0.02035212293552011
c030868	-0.1081763225504451	4.610889698082656
c028316	0.6344534098238499	-0.22039998072942962
c023234	0.9127259690323336	-2.274710038660667
c025770	0.9977607125880967	-1.8700411741130942
c018372	0.5741386446023916	-3.413108392287132
c018373	0.7494262346634367	-2.9253789608922824
c023245	0.8271428732302815	-3.139970142398477
c033489	0.8317707167234278	-2.763524105917011
c038693	1.4360483788913907	-1.3075315957652989
c050129	1.6646141427181258	-0.15861738792664662
c056451	1.4292652897669622	1.4078483631602672
c063221	1.8135230484175935	-0.8947034240517039
RS_GCF_900109735_1	2.1359138234680697	1.4466781925816208
c079933	2.2916091657024555	-1.5341778981623642
c082925	1.5738827306051901	-2.071546581058505
c091417	2.163760940038494	1.9746431262935584
c102621	2.315497170997506	1.8999357654827445
GB_GCA_001830395_1	2.3111463849083123	0.7390591107820952
c109119	2.2678453962078513	1.7448434233000436
c110435	2.401595474593643	1.9454096060374868
c112677	2.6977878551986434	1.8949482797091244
c113633	2.3700598306278686	1.632152515558015
c115219	2.9485848829671673	1.7969124252727786
c115220	2.7090705808042883	1.8007825905435588
c114474	2.529962071037986	2.015961274991524
c111610	2.4673243409364822	1.7247239148554596
c107692	2.4154809324408397	1.8634457791174022
c104396	2.140439041693286	1.6227631743327513
c100674	2.330183928823564	2.0358989623458084
c098496	2.184319017544586	1.8828286523667506
c096268	2.3398977878809597	1.9982655522174215
c093898	2.2188171330255058	1.9930590912295365
c088724	2.1023100764679152	1.894470235187428
c085876	2.104962189674784	1.9071850228677019
c073554	1.8111445109195445	1.524573489231005
c070184	2.175221320711549	-0.5433523888174951
GB_GCA_001593685_1	1.6791073995697774	-0.8879174426568964
c059772	1.4526415184986912	1.7677562068980055
c053232	1.235236024967578	0.17994431292539134
c047154	1.7492055646433065	-1.2589130606405288
c044222	1.541566518437739	-2.221619861275643
c041424	1.1704119426545243	0.17721567342126032
c038696	0.7757653021642462	-2.580932011071737
c036089	0.6032917222167826	-0.2618771723363187
c041431	1.0963397077714003	-1.7678953205136252
c044235	1.239370435681741	-1.505801616700333
GB_GCA_011322755_1	1.2291823883951019	-1.7325481456502156
c050161	1.0810853132311076	-1.6796638806894024
c050162	0.8319904471240956	0.7097658248199986
c038700	0.8445055636133116	-0.1370320657606125
c036091	0.9970634545314503	0.3443190080135118
c041439	0.6979564624799443	-0.04638465315572845
c041440	0.8640221718306559	0.10104977451600282
c038704	0.7648179135037679	1.3055079470609818
c028340	0.8225051968500142	0.53019925555084
c028341	-0.28112814368252537	1.2778765075132215
c036101	-0.7594560306551593	3.64685514179773
c044265	-0.9161136087602239	3.7269364087439616
c047217	-0.7336009359920517	3.5254995498621473
c050227	-0.8235916310613489	3.8408459381339295
c053373	-0.8999451341125307	2.045714850450402
c056637	-0.9577501964821956	1.7322722980572631
c073891	-0.593000537653335	2.2370129756764463
c073892	-0.5732866667663772	2.0047416539360583
c070508	-1.0343702314926162	1.5112377862135942
c067006	-1.0153127730838023	2.0862555510778984
c063496	-0.4793897525240826	2.0826887984771973
c060006	-0.5697980040623326	2.116153816892692
c041454	-0.12652703258355133	2.1229087306364067
c038712	-0.9075216918742346	2.1139149349370334
c033502	-0.10298032296235829	2.7719392382591552
c030908	0.2660849349639449	3.7867318937517753
c023244	0.5658518209473427	0.08397724328255007
c013846	0.6189918596755474	1.3532298235246942
c009812	0.43909671356496144	-0.7498834306327476
c009813	-1.0150922108094822	-2.4115178935076265
c011775	0.23509367893919514	-3.602340758038736
c016047	-0.06840897908264987	-4.549156559844032
c028383	0.9758324488801452	-3.7296880944082718
GB_GCA_018063245_1	0.978904881752025	-3.9701570090777114
c044331	0.1597848415338847	1.3729646792596362
c050325	0.16650261478398284	1.7180895098627427
c053465	-0.14648273682650273	-0.12936288578717642
c067095	-0.6240350135591114	0.16508061111651773
c089143	0.1324118644771063	-0.376194220004099
c091829	0.4021261938972042	0.19603034071795414
GB_GCA_002469865_1	1.5328795969535305	3.606122795728747
RS_GCF_000374145_1	-0.8037350961524179	3.130830751140684
c104763	-0.6175890571249265	1.3610146493793585
c106473	-0.3337686348596279	2.1985681627143667
c115963	0.002548847882573179	2.5359361851975883
c116561	0.20892002903560966	3.819249917471585
c117117	-0.4239345235921581	1.912353138694549
c118169	0.2388659822028754	0.8998201830131645
c119085	0.396489044042419	0.930570321706978
c119533	-0.32953229490001706	2.0819927969782333
c119534	0.37700684673969137	1.1280223410546601
c118634	-0.44782426022616373	2.2945819504076383
c117654	0.15769244452235368	0.9790934286504509
c115320	-0.48515281027629664	1.9081170017267526
c114592	-0.7170408287025327	1.7838916762514065
c113786	-0.008842088963574237	2.377773460018113
c112874	-0.45689250676952725	2.900035538263624
c111856	0.37320614236101257	3.062871948064317
c110740	-0.651814241620802	1.5693387532855922
c109460	0.03474268937706396	1.6941330383870457
c108056	-0.43498852141858607	2.591132260373658
c102980	-0.12571816951995404	2.990086200009714
GB_GCA_003250135_1	-0.8528646316943721	-1.9835371669423725
RS_GCF_016623495_1	-0.7579129577072005	-0.7269864044539773
c096675	0.01293788076130414	3.275737834000234
GB_GCA_016764455_1	0.17647126145313824	-2.3311733633520983
c101035	-0.16662661874817009	1.2664626893954904
